airline,total_incidents,total_fatalities,years_active,fatal_events,avg_damage,last_incident,recency_factor,incident_rate,fatality_rate,fatal_ratio,weighted_rate,norm_weighted_rate,norm_fatality_rate,norm_fatal_ratio,norm_avg_damage,penalty,safety_score,risk_label
Air Sanlando Inc,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Current Aircraft Inc,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Michigan Peninsula Airways Ltd,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Skystream Airlines,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Air Polynesia Inc,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Air Travel Charters,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Bayou Aerial Applicators,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Air Miami,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Bay Air Service,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Golden Carriage Air,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Spa Flying Service,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Air Nebraska Inc,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Air Lingus Iris,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Melridge Aviation,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Bass Aviation,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Merced Aviation,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Billy Wurzlow Flying Service,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Mountain Jet Aviation Inc,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Orange County Sunbird Aviation,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Blacksburg Aviation Inc,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Baxter Aviation Inc,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Star Airways Inc,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Mid Atlantic Air,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Aircraft Service,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Canadian Pacific Air Lines,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Seattle Flight Service Inc,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Air Fleets,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Gibbs Flite Center Inc,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
